
 num     #instances         #bytes  class name
 109:          1156         101728  org.apache.lucene.index.TermsHashPerField
 110:          1573         100672  java.text.DecimalFormatSymbols
 111:          1337          96264  java.lang.reflect.Constructor
 112:          2967          94944  java.lang.ref.WeakReference
 113:          2944          94208  java.lang.ref.ReferenceQueue
 114:          2345          93800  com.sun.org.apache.xerces.internal.dom.DeferredCommentImpl
 115:          2821          90272  org.apache.lucene.index.TermContext
 116:          1089          87120  [Ljava.util.concurrent.ConcurrentHashMap$Segment;
 117:          2703          86496  java.lang.StackTraceElement
 118:          2161          86440  org.tartarus.snowball.Among
 119:          3667          84768  [Lorg.apache.lucene.codecs.BlockTreeTermsReader$FieldReader$SegmentTermsEnum$Frame;
 120:          1730          83040  org.apache.lucene.store.RAMOutputStream
 121:          1919          76760  org.apache.lucene.util.fst.NodeHash
 122:          1894          75760  java.lang.ref.SoftReference
 123:           144          75696  [Lorg.apache.lucene.index.TermContext;
 124:          3107          74568  com.sun.org.apache.xerces.internal.dom.AttributeMap
 125:          4658          74528  java.util.concurrent.atomic.AtomicInteger
 126:          1829          73160  org.apache.lucene.store.RAMFile
 127:          3723          71240  [Ljava.lang.Class;
 128:          1269          71064  org.apache.lucene.store.RAMInputStream
 129:          2957          70968  java.lang.StringBuilder
 130:          2948          70752  java.util.Date
 131:          2195          70240  org.apache.lucene.search.TermQuery
 132:          1227          68712  java.util.Properties
 133:          1215          68040  org.apache.lucene.util.BytesRefHash
 134:          2817          67608  org.apache.lucene.analysis.tokenattributes.OffsetAttributeImpl
 135:          2816          67584  org.apache.solr.update.VersionBucket
 136:          2730          65520  [Lorg.apache.lucene.util.AttributeSource$State;
 137:          1357          65136  org.apache.solr.parser.Token
 138:          1010          64640  java.text.SimpleDateFormat
 139:          1135          63560  org.wltea.analyzer.core.AnalyzeContext
 140:          1135          63560  org.wltea.analyzer.lucene.IKTokenizer
 141:          1982          63424  org.apache.lucene.util.packed.GrowableWriter
 142:          2603          62472  java.io.File
 143:          1541          61640  java.util.Formatter$FormatSpecifier
 144:          1919          61408  org.apache.lucene.util.fst.BytesStore$2
 145:           749          59920  [Ljava.lang.reflect.Field;
 146:          2454          58896  javax.management.ObjectName$Property
 147:          2258          58056  [Ljavax.management.ObjectName$Property;
 148:           516          57792  org.apache.lucene.codecs.BlockTreeTermsWriter$TermsWriter
 149:           345          57680  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry;
 150:          2396          57504  org.apache.lucene.analysis.tokenattributes.CharTermAttributeImpl
 151:          1436          57440  java.text.DigitList
 152:          2369          56856  org.apache.lucene.index.Term
 153:           815          52160  org.apache.solr.analysis.TrieTokenizer
 154:          1307          52120  [Ljava.util.Formatter$Flags;
